brand,perfume,accords,notes,scent,longevity,sillage,bottle,value,season,occasion
Louis Vuitton,Imagination,"['fresh', 'citrus', 'aquatic', 'green', 'spicy']","['chinese black tea', 'calabrian bergamot', 'ambrox', 'ceylonese cinnamon', 'nigerian ginger', 'sicilian cedar', 'tunisian neroli']",8.9,7.8,7.6,8.7,6.3,summer,daily
Parfums de Marly,Layton,"['sweet', 'spicy', 'fruity', 'woody', 'oriental']","['apple', 'lavender', 'bergamot', 'mandarin orange', 'geranium', 'jasmine', 'violet', 'vanilla', 'cardamom', 'gaiac wood', 'sandalwood', 'patchouli', 'pink pepper']",8.6,8.3,8.1,8.5,7.2,fall,night out
Dior,Dior Homme Intense,"['powdery', 'sweet', 'woody', 'spicy', 'gourmand']","['florentine iris absolute', 'ecuadorian ambrette seed', 'virginia cedar']",8.5,8.3,8.0,8.3,8.1,winter,evening
Creed,Aventus,"['fresh', 'fruity', 'citrus', 'woody', 'smoky']","['apple', 'bergamot', 'blackcurrant', 'lemon', 'pink pepper', 'pineapple', 'indonesian patchouli', 'jasmine', 'birch', 'cedarwood', 'musk', 'oakmoss', 'ambergris']",8.4,7.3,7.3,7.7,5.4,spring,daily
Prada,L'Homme,"['powdery', 'fresh', 'floral', 'sweet', 'creamy']","['iris', 'amber', 'neroli', 'violet', 'cedar', 'geranium', 'patchouli', 'pepper']",8.4,7.4,7.1,8.2,8.2,summer,business
Amouage,Reflection Man,"['floral', 'fresh', 'sweet', 'powdery', 'woody']","['bitter orange lead', 'red pepper', 'rosemary', 'neroli', 'jasmine', 'iris', 'ylang-ylang', 'sandalwood', 'haitian vetiver', 'virginia cedar', 'patchouli']",8.5,8.1,7.7,8.7,6.6,spring,daily
Viktor & Rolf,Spicebomb Extreme,"['spicy', 'sweet', 'oriental', 'gourmand', 'woody']","['black pepper', 'pimento', 'grapefruit', 'cinnamon', 'cumin', 'saffron', 'vanilla', 'tobacco', 'amber', 'cistus']",8.4,8.5,8.3,8.2,8.4,winter,evening
Yves Saint Laurent,La Nuit de L'Homme,"['spicy', 'sweet', 'woody', 'oriental', 'fresh']","['cardamom', 'bergamot', 'lavendar', 'black pepper', 'cerdarwood', 'tonka bean', 'vetiver']",8.4,6.5,6.5,7.5,7.4,fall,evening
Dolce & Gabbana,The One for Men,"['sweet', 'spicy', 'woody', 'oriental', 'fruity']","['grapefruit', 'basil', 'coriander', 'orange blossom', 'cardamom', 'ginger', 'amber', 'tobacco', 'cedar']",8.4,6.4,6.3,7.8,7.4,fall,evening
Jean Paul Gaultier,Le Male Le Parfum,"['sweet', 'spicy', 'oriental', 'powdery', 'woody']","['cardamom', 'iris', 'lavender', 'vanilla', 'oriental woods']",8.4,8.1,7.7,8.3,8.2,winter,evening
Giorgio Armani,Acqua di Gio Profumo,"['aquatic', 'fresh', 'spicy', 'citrus', 'woody']","['aquatic notes', 'bergamot', 'spicy notes', 'rosemary', 'sage', 'geranium', 'frankincense', 'patchouli']",8.2,7.7,7.4,7.8,7.7,spring,daily
Tom Ford,Noir Extreme,"['sweet', 'gourmand', 'spicy', 'oriental', 'creamy']","['cardamom', 'mandarin orange', 'nutmeg', 'saffron', 'neroli', 'kulfi', 'mastic', 'orange blossom', 'jasmine', 'rose', 'vanilla', 'amber', 'sandalwood']",8.5,7.8,7.5,7.6,7.3,winter,evening
Chanel,Bleu de Chanel,"['fresh', 'citrus', 'woody', 'spicy', 'aquatic']","['sicilian lemon', 'mandarin orange', 'new caledonian sandalwood', 'woody notes', 'cedar', 'venezuelan tonka bean', 'haitian vetiver', 'vanilla']",8.2,7.4,7.1,8.0,7.3,spring,daily
Dior,Dior Homme Parfum,"['powdery', 'leathery', 'woody', 'sweet', 'spicy']","['florentine iris', 'leather', 'ceylonese sandalwood']",8.7,9.0,8.6,8.7,8.2,winter,night out
Hermes,Terre de Hermes EDT,"['woody', 'earthy', 'spicy', 'citrus', 'fresh']","['vetiver', 'cedar', 'orange', 'grapefruit', 'flinstone', 'geranium leaf', 'pepper', 'benzoin', 'patchouli.pink pepper']",8.1,7.8,7.4,7.7,7.7,spring,daily
Chanel,Allure Homme Sport Eau Extreme,"['fresh', 'sweet', 'citrus', 'spicy', 'creamy']","['mandarin orange', 'mint', 'cypress', 'black pepper', 'clary sage', 'tonka bean', 'white musk', 'sandalwood', 'cedar']",8.3,7.5,7.3,7.5,7.2,spring,daily
Guerlian,L'Homme Ideal,"['sweet', 'gourmand', 'spicy', 'fruity', 'leathery']","['almond', 'spices', 'bergamot', 'vanilla', 'bulgarian rose', 'frankincense', 'tonka bean', 'leathery notes', 'sandalwood']",8.4,7.7,7.3,7.9,8.1,fall,evening
Giorgio Armani,Stronger With You Intensely,"['sweet', 'gourmand', 'spicy', 'oriental', 'woody']","['juniper', 'pink pepper', 'violet leaf', 'toffee', 'cinnamon', 'lavender', 'sage', 'amberwood', 'vanilla', 'suede']",8.3,8.4,8.2,7.4,8.3,winter,evening
Parfums de Marly,Althair,"['sweet', 'gourmand', 'creamy', 'spicy', 'woody']","['cinnamon', 'orange blossom', 'bergamot', 'bourbon vanilla', 'elemi resin', 'praline', 'ambrox', 'gaiac wood', 'musk']",8.3,8.4,8.1,8.0,6.9,winter,evening
Chanel,Allure Homme Edition Blanche,"['citrus', 'fresh', 'creamy', 'sweet', 'spicy']","['black pepper', 'pink pepper', 'lemon', 'bergamot', 'new caledonian sandalwood', 'leather', 'tonka bean', 'amber', 'bourbon vanilla', 'cedarwood', 'ginger', 'haitian vetiver', 'white musk']",8.5,6.9,6.8,7.7,7.1,summer,daily
Roja Parfums,Elysium Parfum Cologne,"['fresh', 'citrus', 'fruity', 'woody', 'spicy']","['grapefruit', 'lemon', 'lime', 'artemisia', 'bergamot', 'lavender', 'musk', 'thyme', 'blackcurrant', 'grasse jasmine', 'may rose', 'apple', 'lily of the valley', 'cedarwood', 'juniper berry', 'vetiver', 'ambergris', 'benzoin', 'cypriol', 'galbanum', 'labdanum', 'musk', 'pink pepper', 'leather', 'vanilla']",8.4,7.1,6.9,8.7,5.7,summer,daily
Prada,Luna Rossa Black,"['sweet', 'powdery', 'spicy', 'creamy', 'woody']","['angelica', 'bergamot', 'coumarin', 'patchouli', 'amber']",8.2,7.4,7.1,7.5,7.8,fall,evening
Amouage,Jubilation XXV Man,"['oriental', 'spicy', 'woody', 'fruity', 'resinous']","['blackberry', 'frankincense', 'coriander', 'davana', 'labdanum', 'orange', 'clove', 'cinnamon', 'gaiac wood', 'honey', 'laurel', 'rose', 'celery seed', 'orchid', 'myrrh', 'atlas cedar', 'moss', 'musk', 'omanian ambergris', 'opoponax', 'oud', 'patchouli', 'tree moss', 'immortelle']",8.3,8.1,7.6,8.7,6.7,fall,evening
Dior,Sauvage Elixir,"['spicy', 'woody', 'sweet', 'fresh', 'synthetic']","['nutmeg', 'cardamom', 'cinnamon', 'grapefruit', 'provencal lavender', 'liquorice', 'amber notes', 'patchouli', 'woods', 'haitian vetiver']",8.1,9.1,8.8,8.1,7.1,fall,evening
Dior,Sauvage EDT,"['fresh', 'spicy', 'synthetic', 'citrus', 'woody']","['ambrox', 'sichuan pepper', 'calabrian bergamot', 'pink pepper', 'provencal lavender', 'elemi resin', 'geranium', 'patchouli', 'vetiver']",7.5,7.9,7.8,7.8,7.5,spring,daily
Nishane,Hacivat,"['fruity', 'fresh', 'citrus', 'woody', 'green']","['pineapple', 'grapefruit', 'bergamot', 'cedarwood', 'patchouli', 'jasmine', 'oakmoss', 'clearwood', 'dry woods']",8.2,8.6,8.3,8.0,7.1,spring,leisure
Jean Paul Gaultier,Le Male Exilir,"['sweet', 'gourmand', 'creamy', 'spicy', 'woody']","['tonka bean', 'benzoin', 'lavender', 'artemisia', 'bergamot', 'cinnamon', 'labdanum', 'patchouli', 'spearmint']",8.3,8.6,8.3,8.6,8.1,winter,night out
